ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16744898,<blank>,def,<blank>,INNODB_FT_INDEX_TABLE,SYSTEM VIEW,1054,max_rows=15917,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16744898,<blank>,def,<blank>,INNODB_FT_INDEX_CACHE,SYSTEM VIEW,1054,max_rows=15917,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16752582,<blank>,def,<blank>,INNODB_SYS_TABLESPACES,SYSTEM VIEW,2133,max_rows=7865,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16742448,<blank>,def,<blank>,INNODB_METRICS,SYSTEM VIEW,2994,max_rows=5603,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16738848,<blank>,def,<blank>,INNODB_SYS_FOREIGN_COLS,SYSTEM VIEW,1748,max_rows=9597,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,15204352,<blank>,def,<blank>,INNODB_CMPMEM,SYSTEM VIEW,29,max_rows=578524,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16332350,<blank>,def,<blank>,INNODB_BUFFER_POOL_STATS,SYSTEM VIEW,257,max_rows=65280,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16613350,<blank>,def,<blank>,INNODB_SYS_COLUMNS,SYSTEM VIEW,610,max_rows=27503,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16700064,<blank>,def,<blank>,INNODB_SYS_FOREIGN,SYSTEM VIEW,1752,max_rows=9576,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16763355,<blank>,def,<blank>,INNODB_SYS_TABLESTATS,SYSTEM VIEW,1215,max_rows=13808,0,utf8_general_ci,information_schema
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,14,24,1170,0,def,advert
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,10,13,1638,0,def,article
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,4,5,4096,0,def,author
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,0,2,0,0,def,latestnews
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,81920,0,<blank>,Dynamic,10,<blank>,204,205,401,0,def,magazine
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,0,2,0,0,def,member
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:32,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,278528,0,<blank>,Dynamic,10,<blank>,1546,1610,180,0,def,news
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:33,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,0,2,0,0,def,page
0,<blank>,InnoDB,<blank>,2021-02-19 14:00:33,latin1_swedish_ci,dailypak_dailypak,BASE TABLE,<blank>,16384,0,<blank>,Dynamic,10,<blank>,122,131,134,0,def,popularnews

